source_url,glove_class,pool_type,modifier_kind,modifier_name,tier,min_item_level,tags,stat_text,stat_template
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Ulaman,1,65,"ailment, damage, ulaman_mod",(10-20)% increased Magnitude of Ailments you inflict,#% increased Magnitude of Ailments you inflict
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Ulaman,1,65,ulaman_mod,(20-30)% increased chance to Poison,#% increased chance to Poison
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Ulaman,1,65,ulaman_mod,(20-30)% increased chance to inflict Bleeding,#% increased chance to inflict Bleeding
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Ulaman,1,65,"attribute, ulaman_mod",+(9-15) to Strength and Dexterity,+# to Strength and Dexterity
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Ulaman,1,65,"chaos, elemental, lightning, resistance, ulaman_mod",+(13-17)% to Lightning and Chaos Resistances,+#% to Lightning and Chaos Resistances
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Acrobat's,5,16,evasion,+(47-66) to Evasion Rating,+# to Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Agile,7,1,evasion,+(11-18) to Evasion Rating,+# to Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Amazon's,1,76,attack,+(451-550) to Accuracy Rating,+# to Accuracy Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Annealed,4,54,"attack, damage, physical",Adds (6-10) to (12-17) Physical Damage to Attacks,Adds # to # Physical Damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Aqua,4,38,mana,+(65-79) to maximum Mana,+# to maximum Mana
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Arcing,4,54,"attack, damage, elemental, lightning",Adds (1-2) to (33-40) Lightning damage to Attacks,Adds # to # Lightning damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Athlete's,1,60,life,+(120-149) to maximum Life,+# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Azure,7,16,mana,+(25-34) to maximum Mana,+# to maximum Mana
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Beryl,9,1,mana,+(10-14) to maximum Mana,+# to maximum Mana
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Blasting,2,65,"attack, damage, elemental, fire",Adds (20-24) to (33-36) Fire damage to Attacks,Adds # to # Fire damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Blurred,3,33,evasion,+(88-116) to Evasion Rating,+# to Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Burning,6,33,"attack, damage, elemental, fire",Adds (9-11) to (14-17) Fire damage to Attacks,Adds # to # Fire damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Burnished,8,8,"attack, damage, physical",Adds (2-3) to (4-6) Physical Damage to Attacks,Adds # to # Physical Damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Buzzing,8,8,"attack, damage, elemental, lightning",Adds 1 to (10-15) Lightning damage to Attacks,Adds # to # Lightning damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Cerulean,5,33,mana,+(55-64) to maximum Mana,+# to maximum Mana
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Chalybeous,1,60,mana,+(105-124) to maximum Mana,+# to maximum Mana
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Chilled,8,8,"attack, cold, damage, elemental",Adds (3-4) to (5-8) Cold damage to Attacks,Adds # to # Cold damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Cobalt,8,6,mana,+(15-24) to maximum Mana,+# to maximum Mana
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Consistent,5,36,attack,+(124-167) to Accuracy Rating,+# to Accuracy Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Crackling,6,33,"attack, damage, elemental, lightning",Adds 1 to (23-27) Lightning damage to Attacks,Adds # to # Lightning damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Cremating,1,75,"attack, damage, elemental, fire",Adds (25-29) to (37-45) Fire damage to Attacks,Adds # to # Fire damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Dancer's,6,8,evasion,+(19-46) to Evasion Rating,+# to Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Deliberate,6,26,attack,+(85-123) to Accuracy Rating,+# to Accuracy Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Discharging,2,65,"attack, damage, elemental, lightning",Adds (1-3) to (48-59) Lightning damage to Attacks,Adds # to # Lightning damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Electrocuting,1,75,"attack, damage, elemental, lightning",Adds (1-4) to (60-71) Lightning damage to Attacks,Adds # to # Lightning damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Entombing,1,75,"attack, cold, damage, elemental",Adds (21-24) to (32-37) Cold damage to Attacks,Adds # to # Cold damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Fawn's,5,16,"evasion, life",(14-20)% increased Evasion Rating | +(11-19) to maximum Life,#% increased Evasion Rating | +# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Flaming,5,46,"attack, damage, elemental, fire",Adds (12-13) to (18-20) Fire damage to Attacks,Adds # to # Fire damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Flaring,1,75,"attack, damage, physical",Adds (12-19) to (22-32) Physical Damage to Attacks,Adds # to # Physical Damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Flea's,6,8,"evasion, life",(6-13)% increased Evasion Rating | +(7-10) to maximum Life,#% increased Evasion Rating | +# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Fleet,4,25,evasion,+(67-87) to Evasion Rating,+# to Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Focused,7,18,attack,+(61-84) to Accuracy Rating,+# to Accuracy Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Freezing,5,46,"attack, cold, damage, elemental",Adds (9-10) to (15-17) Cold damage to Attacks,Adds # to # Cold damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Frigid,6,33,"attack, cold, damage, elemental",Adds (7-8) to (12-14) Cold damage to Attacks,Adds # to # Cold damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Frosted,9,1,"attack, cold, damage, elemental",Adds 1 to (2-3) Cold damage to Attacks,Adds # to # Cold damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Frozen,4,54,"attack, cold, damage, elemental",Adds (11-13) to (18-21) Cold damage to Attacks,Adds # to # Cold damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Gentian,2,54,mana,+(90-104) to maximum Mana,+# to maximum Mana
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Ghost's,6,16,evasion,(27-42)% increased Evasion Rating,#% increased Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Glaciated,3,60,"attack, cold, damage, elemental",Adds (14-15) to (22-24) Cold damage to Attacks,Adds # to # Cold damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Gleaming,5,46,"attack, damage, physical",Adds (5-7) to (9-13) Physical Damage to Attacks,Adds # to # Physical Damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Glinting,9,1,"attack, damage, physical",Adds (1-2) to 3 Physical Damage to Attacks,Adds # to # Physical Damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Hale,9,1,life,+(10-19) to maximum Life,+# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Healthy,8,6,life,+(20-29) to maximum Life,+# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Heated,9,1,"attack, damage, elemental, fire",Adds (1-2) to 3 Fire damage to Attacks,Adds # to # Fire damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Honed,6,33,"attack, damage, physical",Adds (4-6) to (8-11) Physical Damage to Attacks,Adds # to # Physical Damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Humming,9,1,"attack, damage, elemental, lightning",Adds 1 to (4-6) Lightning damage to Attacks,Adds # to # Lightning damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Hunter's,3,58,attack,+(237-346) to Accuracy Rating,+# to Accuracy Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Ibex's,2,60,"evasion, life",(33-38)% increased Evasion Rating | +(33-41) to maximum Life,#% increased Evasion Rating | +# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Icy,7,16,"attack, cold, damage, elemental",Adds (5-6) to (9-11) Cold damage to Attacks,Adds # to # Cold damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Incinerating,3,60,"attack, damage, elemental, fire",Adds (13-19) to (27-32) Fire damage to Attacks,Adds # to # Fire damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Mirage's,1,65,evasion,(92-100)% increased Evasion Rating,#% increased Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Mouflon's,4,33,"evasion, life",(21-26)% increased Evasion Rating | +(20-25) to maximum Life,#% increased Evasion Rating | +# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Nightmare's,2,60,evasion,(80-91)% increased Evasion Rating,#% increased Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Opalescent,3,46,mana,+(80-89) to maximum Mana,+# to maximum Mana
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Phantasm's,3,54,evasion,(68-79)% increased Evasion Rating,#% increased Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Phased,2,46,evasion,+(117-146) to Evasion Rating,+# to Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Polar,2,65,"attack, cold, damage, elemental",Adds (16-20) to (25-31) Cold damage to Attacks,Adds # to # Cold damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Polished,7,16,"attack, damage, physical",Adds (2-4) to (5-8) Physical Damage to Attacks,Adds # to # Physical Damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Precise,9,1,attack,+(11-32) to Accuracy Rating,+# to Accuracy Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Ram's,3,46,"evasion, life",(27-32)% increased Evasion Rating | +(26-32) to maximum Life,#% increased Evasion Rating | +# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Ranger's,2,67,attack,+(347-450) to Accuracy Rating,+# to Accuracy Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Razor-sharp,3,60,"attack, damage, physical",Adds (7-11) to (14-20) Physical Damage to Attacks,Adds # to # Physical Damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Reliable,8,11,attack,+(33-60) to Accuracy Rating,+# to Accuracy Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Robust,4,38,life,+(70-84) to maximum Life,+# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Rotund,3,46,life,+(85-99) to maximum Life,+# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Sanguine,7,16,life,+(30-39) to maximum Life,+# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Scorching,4,54,"attack, damage, elemental, fire",Adds (11-16) to (21-26) Fire damage to Attacks,Adds # to # Fire damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Shade's,7,2,evasion,(15-26)% increased Evasion Rating,#% increased Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Shocking,3,60,"attack, damage, elemental, lightning",Adds (1-2) to (41-47) Lightning damage to Attacks,Adds # to # Lightning damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Smoking,7,16,"attack, damage, elemental, fire",Adds (6-8) to (10-13) Fire damage to Attacks,Adds # to # Fire damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Smouldering,8,8,"attack, damage, elemental, fire",Adds (3-5) to (6-9) Fire damage to Attacks,Adds # to # Fire damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Snapping,7,16,"attack, damage, elemental, lightning",Adds 1 to (16-22) Lightning damage to Attacks,Adds # to # Lightning damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Sparking,5,46,"attack, damage, elemental, lightning",Adds 1 to (28-32) Lightning damage to Attacks,Adds # to # Lightning damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Spectre's,5,33,evasion,(43-55)% increased Evasion Rating,#% increased Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Stag's,1,78,"evasion, life",(39-42)% increased Evasion Rating | +(42-49) to maximum Life,#% increased Evasion Rating | +# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Stalwart,6,24,life,+(40-59) to maximum Life,+# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Steady,4,48,attack,+(168-236) to Accuracy Rating,+# to Accuracy Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Stout,5,33,life,+(60-69) to maximum Life,+# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Teal,6,25,mana,+(35-54) to maximum Mana,+# to maximum Mana
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Tempered,2,65,"attack, damage, physical",Adds (10-15) to (18-26) Physical Damage to Attacks,Adds # to # Physical Damage to Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Vaporous,1,54,evasion,+(147-176) to Evasion Rating,+# to Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Virile,2,54,life,+(100-119) to maximum Life,+# to maximum Life
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,prefix,Wraith's,4,46,evasion,(56-67)% increased Evasion Rating,#% increased Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Absorption,8,1,mana,Gain (2-3) Mana per enemy killed,Gain # Mana per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Anger,4,21,"critical, damage",(15-19)% increased Critical Damage Bonus,#% increased Critical Damage Bonus
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Archaeology,1,40,,(15-18)% increased Rarity of Items found,#% increased Rarity of Items found
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Assimilation,1,78,mana,Gain (36-45) Mana per enemy killed,Gain # Mana per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Bameth,1,81,"chaos, resistance",+(24-27)% to Chaos Resistance,+#% to Chaos Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Banishment,5,30,"chaos, resistance",+(8-11)% to Chaos Resistance,+#% to Chaos Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Bending,4,16,evasion,Gain Deflection Rating equal to (12-14)% of Evasion Rating,Gain Deflection Rating equal to #% of Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Combat,2,5,attack,+1 to Level of all Melee Skills,+# to Level of all Melee Skills
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Conquest,5,33,life,Gain (19-28) Life per enemy killed,Gain # Life per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Consumption,4,45,mana,Gain (15-20) Mana per enemy killed,Gain # Mana per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Curvation,3,36,evasion,Gain Deflection Rating equal to (15-17)% of Evasion Rating,Gain Deflection Rating equal to #% of Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Deflecting,5,1,evasion,Gain Deflection Rating equal to (8-11)% of Evasion Rating,Gain Deflection Rating equal to #% of Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Devouring,2,67,mana,Gain (28-35) Mana per enemy killed,Gain # Mana per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Diversion,2,48,evasion,Gain Deflection Rating equal to (18-20)% of Evasion Rating,Gain Deflection Rating equal to #% of Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Dueling,1,41,attack,+2 to Level of all Melee Skills,+# to Level of all Melee Skills
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Ease,3,22,"attack, speed",(8-10)% increased Attack Speed,#% increased Attack Speed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Enveloping,5,34,mana,Gain (10-14) Mana per enemy killed,Gain # Mana per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Ephij,1,82,"elemental, lightning, resistance",+(41-45)% to Lightning Resistance,+#% to Lightning Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Eviction,4,44,"chaos, resistance",+(12-15)% to Chaos Resistance,+#% to Chaos Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Exile,2,68,"chaos, resistance",+(20-23)% to Chaos Resistance,+#% to Chaos Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Expulsion,3,56,"chaos, resistance",+(16-19)% to Chaos Resistance,+#% to Chaos Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Ferocity,1,59,"critical, damage",(30-34)% increased Critical Damage Bonus,#% increased Critical Damage Bonus
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Flexure,1,66,evasion,Gain Deflection Rating equal to (21-23)% of Evasion Rating,Gain Deflection Rating equal to #% of Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Fury,2,45,"critical, damage",(25-29)% increased Critical Damage Bonus,#% increased Critical Damage Bonus
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Glory,2,66,life,Gain (54-68) Life per enemy killed,Gain # Life per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Haast,1,82,"cold, elemental, resistance",+(41-45)% to Cold Resistance,+#% to Cold Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Infusion,6,23,mana,Gain (6-9) Mana per enemy killed,Gain # Mana per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Ire,5,8,"critical, damage",(10-14)% increased Critical Damage Bonus,#% increased Critical Damage Bonus
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Legend,1,77,life,Gain (69-84) Life per enemy killed,Gain # Life per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Magma,2,71,"elemental, fire, resistance",+(36-40)% to Fire Resistance,+#% to Fire Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Mastery,2,37,"attack, speed",(11-13)% increased Attack Speed,#% increased Attack Speed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Nourishment,1,40,"attack, life",Gain 5 Life per Enemy Hit with Attacks,Gain # Life per Enemy Hit with Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Osmosis,7,12,mana,Gain (4-5) Mana per enemy killed,Gain # Mana per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Plunder,3,3,,(6-10)% increased Rarity of Items found,#% increased Rarity of Items found
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Rage,3,31,"critical, damage",(20-24)% increased Critical Damage Bonus,#% increased Critical Damage Bonus
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Raiding,2,24,,(11-14)% increased Rarity of Items found,#% increased Rarity of Items found
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Regrowth,2,30,"attack, life",Gain 4 Life per Enemy Hit with Attacks,Gain # Life per Enemy Hit with Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Rejuvenation,4,8,"attack, life",Gain 2 Life per Enemy Hit with Attacks,Gain # Life per Enemy Hit with Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Renown,1,60,"attack, speed",(14-16)% increased Attack Speed,#% increased Attack Speed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Restoration,3,20,"attack, life",Gain 3 Life per Enemy Hit with Attacks,Gain # Life per Enemy Hit with Attacks
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Siphoning,3,56,mana,Gain (21-27) Mana per enemy killed,Gain # Mana per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Skill,4,1,"attack, speed",(5-7)% increased Attack Speed,#% increased Attack Speed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Success,8,1,life,Gain (4-6) Life per enemy killed,Gain # Life per enemy killed
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,suffix,of Triumph,6,22,life,Gain (10-18) Life per enemy killed,Gain # Life per enemy killed
