test_id,category,side,line_number,mod_line
STONEFIST-0009,rare,before,1,"{ Prefix Modifier ""Opalescent"" (Tier: 3) — Mana }"
STONEFIST-0009,rare,before,2,+80(80-89) to maximum Mana
STONEFIST-0009,rare,before,3,"{ Prefix Modifier ""Frozen"" (Tier: 4) — Damage, Elemental, Cold, Attack }"
STONEFIST-0009,rare,before,4,"{ Suffix Modifier ""of the Drake"" (Tier: 6) — Elemental, Fire, Resistance }"
STONEFIST-0009,rare,before,5,+19(16-20)% to Fire Resistance
STONEFIST-0009,rare,before,6,"{ Suffix Modifier ""of the Parched"" (Tier: 4) — Mana, Physical, Attack }"
STONEFIST-0009,rare,before,7,Leech 5.78(5-5.9)% of Physical Attack Damage as Mana
STONEFIST-0009,rare,after,1,{ Implicit Modifier }
STONEFIST-0009,rare,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0009,rare,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0009,rare,after,4,"{ Prefix Modifier ""Opalescent"" }"
STONEFIST-0009,rare,after,5,22(22-23)% more Attack damage while on Low Mana
STONEFIST-0009,rare,after,6,"{ Prefix Modifier ""Frozen"" — Elemental, Cold, Attack }"
STONEFIST-0009,rare,after,7,"{ Suffix Modifier ""of the Drake"" — Elemental, Fire, Resistance }"
STONEFIST-0009,rare,after,8,+1% to Maximum Fire Resistance
STONEFIST-0009,rare,after,9,+24(21-25)% to Fire Resistance
STONEFIST-0009,rare,after,10,"{ Suffix Modifier ""of the Parched"" — Mana }"
STONEFIST-0009,rare,after,11,Leech 8.2(8-8.9)% of Physical Attack Damage as Mana
STONEFIST-0009,rare,after,12,Leech Mana 20(25-20)% slower
STONEFIST-0009,rare,after,13,Unmodifiable
STONEFIST-0010,magic,before,1,"{ Prefix Modifier ""Polished"" (Tier: 7) — Damage, Physical, Attack }"
STONEFIST-0010,magic,before,2,"{ Suffix Modifier ""of the Cloud"" (Tier: 8) — Elemental, Lightning, Resistance }"
STONEFIST-0010,magic,before,3,+9(6-10)% to Lightning Resistance
STONEFIST-0010,magic,after,1,{ Implicit Modifier }
STONEFIST-0010,magic,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0010,magic,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0010,magic,after,4,"{ Prefix Modifier ""Polished"" — Physical, Attack }"
STONEFIST-0010,magic,after,5,"{ Suffix Modifier ""of the Cloud"" — Elemental, Lightning, Resistance }"
STONEFIST-0010,magic,after,6,+1% to Maximum Lightning Resistance
STONEFIST-0010,magic,after,7,+12(11-15)% to Lightning Resistance
STONEFIST-0010,magic,after,8,Unmodifiable
STONEFIST-0011,magic,before,1,"{ Prefix Modifier ""Sanguine"" (Tier: 7) — Life }"
STONEFIST-0011,magic,before,2,+32(30-39) to maximum Life
STONEFIST-0011,magic,before,3,"{ Suffix Modifier ""of the Drake"" (Tier: 6) — Elemental, Fire, Resistance }"
STONEFIST-0011,magic,before,4,+20(16-20)% to Fire Resistance
STONEFIST-0011,magic,after,1,{ Implicit Modifier }
STONEFIST-0011,magic,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0011,magic,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0011,magic,after,4,"{ Prefix Modifier ""Sanguine"" }"
STONEFIST-0011,magic,after,5,7% less damage taken while on Low Life
STONEFIST-0011,magic,after,6,"{ Suffix Modifier ""of the Drake"" — Elemental, Fire, Resistance }"
STONEFIST-0011,magic,after,7,+1% to Maximum Fire Resistance
STONEFIST-0011,magic,after,8,+21(21-25)% to Fire Resistance
STONEFIST-0011,magic,after,9,Unmodifiable
STONEFIST-0012,rare,before,1,"{ Prefix Modifier ""Ephemeral"" (Tier: 4) — Evasion, Energy Shield }"
STONEFIST-0012,rare,before,2,65(56-67)% increased Evasion and Energy Shield
STONEFIST-0012,rare,before,3,"{ Prefix Modifier ""Opalescent"" (Tier: 3) — Mana }"
STONEFIST-0012,rare,before,4,+87(80-89) to maximum Mana
STONEFIST-0012,rare,before,5,"{ Prefix Modifier ""Steady"" (Tier: 4) — Attack }"
STONEFIST-0012,rare,before,6,+231(168-236) to Accuracy Rating
STONEFIST-0012,rare,before,7,"{ Suffix Modifier ""of Plunder"" (Tier: 3) }"
STONEFIST-0012,rare,before,8,9(6-10)% increased Rarity of Items found
STONEFIST-0012,rare,before,9,"{ Suffix Modifier ""of Curvation"" (Tier: 3) — Evasion }"
STONEFIST-0012,rare,before,10,"{ Suffix Modifier ""of the Arid"" (Tier: 3) — Mana, Physical, Attack }"
STONEFIST-0012,rare,before,11,Leech 6.04(6-6.9)% of Physical Attack Damage as Mana
STONEFIST-0012,rare,after,1,{ Implicit Modifier }
STONEFIST-0012,rare,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0012,rare,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0012,rare,after,4,"{ Prefix Modifier ""Ephemeral"" — Evasion, Energy Shield }"
STONEFIST-0012,rare,after,5,13(13-14)% more Global Evasion Rating and Energy Shield
STONEFIST-0012,rare,after,6,"{ Prefix Modifier ""Opalescent"" }"
STONEFIST-0012,rare,after,7,23(22-23)% more Attack damage while on Low Mana
STONEFIST-0012,rare,after,8,"{ Prefix Modifier ""Steady"" — Attack }"
STONEFIST-0012,rare,after,9,27(27-29)% chance to Blind Enemies on Hit with Attacks
STONEFIST-0012,rare,after,10,"{ Suffix Modifier ""of Plunder"" }"
STONEFIST-0012,rare,after,11,19(15-20)% increased Quantity of Gold Dropped by Slain Enemies
STONEFIST-0012,rare,after,12,"{ Suffix Modifier ""of Curvation"" }"
STONEFIST-0012,rare,after,13,"{ Suffix Modifier ""of the Arid"" — Mana }"
STONEFIST-0012,rare,after,14,Leech 9.94(9-10.9)% of Physical Attack Damage as Mana
STONEFIST-0012,rare,after,15,Leech Mana 25(25-20)% slower
STONEFIST-0012,rare,after,16,Unmodifiable
STONEFIST-0013,magic,before,1,"{ Prefix Modifier ""Annealed"" (Tier: 4) — Damage, Physical, Attack }"
STONEFIST-0013,magic,after,1,{ Implicit Modifier }
STONEFIST-0013,magic,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0013,magic,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0013,magic,after,4,"{ Prefix Modifier ""Annealed"" — Physical, Attack }"
STONEFIST-0013,magic,after,5,Unmodifiable
STONEFIST-0014,normal,after,1,{ Implicit Modifier }
STONEFIST-0014,normal,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0014,normal,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0014,normal,after,4,Unmodifiable
STONEFIST-0015,magic,before,1,"{ Prefix Modifier ""Frosted"" (Tier: 9) — Damage, Elemental, Cold, Attack }"
STONEFIST-0015,magic,before,2,"{ Suffix Modifier ""of Combat"" (Tier: 2) — Attack }"
STONEFIST-0015,magic,before,3,+1 to Level of all Melee Skills
STONEFIST-0015,magic,after,1,{ Implicit Modifier }
STONEFIST-0015,magic,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0015,magic,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0015,magic,after,4,"{ Prefix Modifier ""Frosted"" — Elemental, Cold, Attack }"
STONEFIST-0015,magic,after,5,"{ Suffix Modifier ""of Combat"" — Gem }"
STONEFIST-0015,magic,after,6,+12(10-12)% to Quality of all Skills
STONEFIST-0015,magic,after,7,Unmodifiable
STONEFIST-0016,magic,before,1,"{ Prefix Modifier ""Frozen"" (Tier: 4) — Damage, Elemental, Cold, Attack }"
STONEFIST-0016,magic,before,2,"{ Suffix Modifier ""of Mastery"" (Tier: 2) — Attack, Speed }"
STONEFIST-0016,magic,before,3,12(11-13)% increased Attack Speed
STONEFIST-0016,magic,after,1,{ Implicit Modifier }
STONEFIST-0016,magic,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0016,magic,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0016,magic,after,4,"{ Prefix Modifier ""Frozen"" — Elemental, Cold, Attack }"
STONEFIST-0016,magic,after,5,"{ Suffix Modifier ""of Mastery"" }"
STONEFIST-0016,magic,after,6,23(20-24)% chance to gain Onslaught for 4 seconds on Hit
STONEFIST-0016,magic,after,7,Unmodifiable
STONEFIST-0017,rare,before,1,"{ Prefix Modifier ""Deliberate"" (Tier: 6) — Attack }"
STONEFIST-0017,rare,before,2,+104(85-123) to Accuracy Rating
STONEFIST-0017,rare,before,3,"{ Prefix Modifier ""Monk's"" (Tier: 6) — Life, Energy Shield }"
STONEFIST-0017,rare,before,4,13(6-13)% increased Energy Shield
STONEFIST-0017,rare,before,5,+8(7-10) to maximum Life
STONEFIST-0017,rare,before,6,"{ Suffix Modifier ""of the Polar Bear"" (Tier: 3) — Elemental, Cold, Resistance }"
STONEFIST-0017,rare,before,7,+35(31-35)% to Cold Resistance
STONEFIST-0017,rare,before,8,"{ Suffix Modifier ""of Rage"" (Tier: 3) — Damage, Critical }"
STONEFIST-0017,rare,before,9,23(20-24)% increased Critical Damage Bonus
STONEFIST-0017,rare,after,1,{ Implicit Modifier }
STONEFIST-0017,rare,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0017,rare,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0017,rare,after,4,"{ Prefix Modifier ""Deliberate"" — Attack }"
STONEFIST-0017,rare,after,5,23(21-23)% chance to Blind Enemies on Hit with Attacks
STONEFIST-0017,rare,after,6,"{ Prefix Modifier ""Monk's"" }"
STONEFIST-0017,rare,after,7,"3% of Damage Taken Recouped as Life, Mana and Energy Shield"
STONEFIST-0017,rare,after,8,"{ Suffix Modifier ""of the Polar Bear"" — Elemental, Cold, Resistance }"
STONEFIST-0017,rare,after,9,+2% to Maximum Cold Resistance
STONEFIST-0017,rare,after,10,+32(31-35)% to Cold Resistance
STONEFIST-0017,rare,after,11,"{ Suffix Modifier ""of Rage"" — Critical }"
STONEFIST-0017,rare,after,12,+1.8(1.6-2)% to Critical Hit Chance
STONEFIST-0017,rare,after,13,Unmodifiable
STONEFIST-0018,rare,before,1,+18% to Lightning Resistance (rune)
STONEFIST-0018,rare,before,2,"{ Prefix Modifier ""Illusory"" (Tier: 1) — Evasion, Energy Shield }"
STONEFIST-0018,rare,before,3,100(92-100)% increased Evasion and Energy Shield
STONEFIST-0018,rare,before,4,"{ Prefix Modifier ""Freezing"" (Tier: 5) — Damage, Elemental, Cold, Attack }"
STONEFIST-0018,rare,before,5,"{ Prefix Modifier ""Chalybeous"" (Tier: 1) — Mana }"
STONEFIST-0018,rare,before,6,+108(105-124) to maximum Mana
STONEFIST-0018,rare,before,7,"{ Suffix Modifier ""of the Yeti"" (Tier: 5) — Elemental, Cold, Resistance }"
STONEFIST-0018,rare,before,8,+25(21-25)% to Cold Resistance
STONEFIST-0018,rare,before,9,"{ Suffix Modifier ""of the Sage"" (Tier: 3) — Attribute }"
STONEFIST-0018,rare,before,10,+27(25-27) to Intelligence
STONEFIST-0018,rare,after,1,+18% to Lightning Resistance (rune)
STONEFIST-0018,rare,after,2,{ Implicit Modifier }
STONEFIST-0018,rare,after,3,Has +3 to Evasion Rating per player level
STONEFIST-0018,rare,after,4,Has +1 to maximum Energy Shield per player level
STONEFIST-0018,rare,after,5,"{ Prefix Modifier ""Illusory"" — Evasion, Energy Shield }"
STONEFIST-0018,rare,after,6,20(19-20)% more Global Evasion Rating and Energy Shield
STONEFIST-0018,rare,after,7,"{ Prefix Modifier ""Freezing"" — Elemental, Cold, Attack }"
STONEFIST-0018,rare,after,8,"{ Prefix Modifier ""Chalybeous"" }"
STONEFIST-0018,rare,after,9,26(26-27)% more Attack damage while on Low Mana
STONEFIST-0018,rare,after,10,"{ Suffix Modifier ""of the Yeti"" — Elemental, Cold, Resistance }"
STONEFIST-0018,rare,after,11,+2% to Maximum Cold Resistance
STONEFIST-0018,rare,after,12,+22(21-25)% to Cold Resistance
STONEFIST-0018,rare,after,13,"{ Suffix Modifier ""of the Sage"" }"
STONEFIST-0018,rare,after,14,28(25-28)% increased Cooldown Recovery Rate
STONEFIST-0018,rare,after,15,Unmodifiable
STONEFIST-0019,rare,before,1,"{ Prefix Modifier ""Fortified"" (Tier: 4) — Armour }"
STONEFIST-0019,rare,before,2,+80(78-98) to Armour
STONEFIST-0019,rare,before,3,"{ Prefix Modifier ""Scorching"" (Tier: 4) — Damage, Elemental, Fire, Attack }"
STONEFIST-0019,rare,before,4,"{ Prefix Modifier ""Athlete's"" (Tier: 1) — Life }"
STONEFIST-0019,rare,before,5,+121(120-149) to maximum Life
STONEFIST-0019,rare,before,6,"{ Suffix Modifier ""of the Drake"" (Tier: 6) — Elemental, Fire, Resistance }"
STONEFIST-0019,rare,before,7,+16(16-20)% to Fire Resistance
STONEFIST-0019,rare,after,1,{ Implicit Modifier }
STONEFIST-0019,rare,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0019,rare,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0019,rare,after,4,"{ Prefix Modifier ""Fortified"" }"
STONEFIST-0019,rare,after,5,Has +2 to Evasion Rating per player level
STONEFIST-0019,rare,after,6,Has +1 to maximum Energy Shield per player level
STONEFIST-0019,rare,after,7,"{ Prefix Modifier ""Scorching"" — Elemental, Fire, Attack }"
STONEFIST-0019,rare,after,8,"{ Prefix Modifier ""Athlete's"" }"
STONEFIST-0019,rare,after,9,13% less damage taken while on Low Life
STONEFIST-0019,rare,after,10,"{ Suffix Modifier ""of the Drake"" — Elemental, Fire, Resistance }"
STONEFIST-0019,rare,after,11,+1% to Maximum Fire Resistance
STONEFIST-0019,rare,after,12,+23(21-25)% to Fire Resistance
STONEFIST-0019,rare,after,13,Unmodifiable
STONEFIST-0020,rare,before,1,"{ Prefix Modifier ""Druid's"" (Tier: 4) — Life, Armour, Energy Shield }"
STONEFIST-0020,rare,before,2,22(21-26)% increased Armour and Energy Shield
STONEFIST-0020,rare,before,3,+21(20-25) to maximum Life
STONEFIST-0020,rare,before,4,"{ Prefix Modifier ""Glaciated"" (Tier: 3) — Damage, Elemental, Cold, Attack }"
STONEFIST-0020,rare,before,5,"{ Suffix Modifier ""of Combat"" (Tier: 2) — Attack }"
STONEFIST-0020,rare,before,6,+1 to Level of all Melee Skills
STONEFIST-0020,rare,before,7,"{ Suffix Modifier ""of the Drake"" (Tier: 6) — Elemental, Fire, Resistance }"
STONEFIST-0020,rare,before,8,+17(16-20)% to Fire Resistance
STONEFIST-0020,rare,after,1,{ Implicit Modifier }
STONEFIST-0020,rare,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0020,rare,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0020,rare,after,4,"{ Prefix Modifier ""Druid's"" }"
STONEFIST-0020,rare,after,5,"5% of Damage Taken Recouped as Life, Mana and Energy Shield"
STONEFIST-0020,rare,after,6,"{ Prefix Modifier ""Glaciated"" — Elemental, Cold, Attack }"
STONEFIST-0020,rare,after,7,"{ Suffix Modifier ""of Combat"" — Gem }"
STONEFIST-0020,rare,after,8,+10(10-12)% to Quality of all Skills
STONEFIST-0020,rare,after,9,"{ Suffix Modifier ""of the Drake"" — Elemental, Fire, Resistance }"
STONEFIST-0020,rare,after,10,+1% to Maximum Fire Resistance
STONEFIST-0020,rare,after,11,+22(21-25)% to Fire Resistance
STONEFIST-0020,rare,after,12,Unmodifiable
STONEFIST-0021,rare,before,1,"{ Prefix Modifier ""Cherub's"" (Tier: 1) — Evasion, Energy Shield }"
STONEFIST-0021,rare,before,2,+77(65-78) to Evasion Rating
STONEFIST-0021,rare,before,3,+22(22-25) to maximum Energy Shield
STONEFIST-0021,rare,before,4,"{ Prefix Modifier ""Robust"" (Tier: 4) — Life }"
STONEFIST-0021,rare,before,5,+79(70-84) to maximum Life
STONEFIST-0021,rare,before,6,"{ Prefix Modifier ""Gleaming"" (Tier: 5) — Damage, Physical, Attack }"
STONEFIST-0021,rare,before,7,"{ Suffix Modifier ""of the Arid"" (Tier: 3) — Mana, Physical, Attack }"
STONEFIST-0021,rare,before,8,Leech 6.41(6-6.9)% of Physical Attack Damage as Mana
STONEFIST-0021,rare,before,9,"{ Suffix Modifier ""of the Walrus"" (Tier: 4) — Elemental, Cold, Resistance }"
STONEFIST-0021,rare,before,10,+26(26-30)% to Cold Resistance
STONEFIST-0021,rare,before,11,"{ Suffix Modifier ""of the Remora"" (Tier: 3) — Life, Physical, Attack }"
STONEFIST-0021,rare,before,12,Leech 7.24(7-7.9)% of Physical Attack Damage as Life
STONEFIST-0021,rare,after,1,{ Implicit Modifier }
STONEFIST-0021,rare,after,2,Has +2 to Evasion Rating per player level
STONEFIST-0021,rare,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0021,rare,after,4,Has +1 to maximum Runic Ward per player level
STONEFIST-0021,rare,after,5,"{ Prefix Modifier ""Cherub's"" }"
STONEFIST-0021,rare,after,6,Has +4 to Evasion Rating per player level
STONEFIST-0021,rare,after,7,Has +1 to maximum Energy Shield per player level
STONEFIST-0021,rare,after,8,"{ Prefix Modifier ""Robust"" }"
STONEFIST-0021,rare,after,9,10% less damage taken while on Low Life
STONEFIST-0021,rare,after,10,"{ Prefix Modifier ""Gleaming"" — Physical, Attack }"
STONEFIST-0021,rare,after,11,"{ Suffix Modifier ""of the Arid"" — Mana }"
STONEFIST-0021,rare,after,12,Leech 10.6(9-10.9)% of Physical Attack Damage as Mana
STONEFIST-0021,rare,after,13,Leech Mana 23(25-20)% slower
STONEFIST-0021,rare,after,14,"{ Suffix Modifier ""of the Walrus"" — Elemental, Cold, Resistance }"
STONEFIST-0021,rare,after,15,+2% to Maximum Cold Resistance
STONEFIST-0021,rare,after,16,+28(26-30)% to Cold Resistance
STONEFIST-0021,rare,after,17,"{ Suffix Modifier ""of the Remora"" — Life }"
