stat_template,modifier_names,glove_classes,pool_types,seen_as_before_input,seen_as_after_output,has_mapping_family,confirmed_family,likely_family,isolated_sample_count,likely_sample_count,sample_ids,coverage_status
Adds # to # Cold damage to Attacks,"Chilled, Entombing, Freezing, Frigid, Frosted, Frozen, Glaciated, Icy, Polar","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,7,STONEFIST-0005|STONEFIST-0009|STONEFIST-0015|STONEFIST-0016|STONEFIST-0018|STONEFIST-0020|STONEFIST-0042,likely_mapping
#% increased Evasion Rating | +# to maximum Life,"Fawn's, Flea's, Ibex's, Mouflon's, Ram's, Stag's",dex,explicit,True,False,True,False,True,0,2,STONEFIST-0032|STONEFIST-0038,likely_mapping
Gain # Mana per enemy killed,"of Absorption, of Assimilation, of Consumption, of Devouring, of Enveloping, of Infusion, of Osmosis, of Siphoning","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,True,False,1,3,STONEFIST-0022|STONEFIST-0042|STONEFIST-0046|STONEFIST-0071,confirmed_mapping
#% increased Critical Damage Bonus,"of Anger, of Ferocity, of Fury, of Ire, of Rage","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,4,STONEFIST-0017|STONEFIST-0041|STONEFIST-0069|STONEFIST-0073,likely_mapping
#% increased Rarity of Items found,"of Archaeology, of Plunder, of Raiding","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,10,STONEFIST-0012|STONEFIST-0024|STONEFIST-0028|STONEFIST-0029|STONEFIST-0034|STONEFIST-0035|STONEFIST-0045|STONEFIST-0046|STONEFIST-0047|STONEFIST-0051,likely_mapping
+#% to Chaos Resistance,"of Bameth, of Banishment, of Eviction, of Exile, of Expulsion, of the Lost","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,True,False,1,2,STONEFIST-0007|STONEFIST-0039|STONEFIST-0075,confirmed_mapping
Gain Deflection Rating equal to #% of Evasion Rating,"of Bending, of Curvation, of Deflecting, of Diversion, of Flexure","dex, dex_int, str_dex",explicit,True,False,True,False,True,0,1,STONEFIST-0012,likely_mapping
Gain # Life per enemy killed,"of Conquest, of Glory, of Legend, of Success, of Triumph, of Valour, of Vanquishing, of Victory","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,True,False,1,6,STONEFIST-0008|STONEFIST-0026|STONEFIST-0033|STONEFIST-0039|STONEFIST-0042|STONEFIST-0050|STONEFIST-0074,confirmed_mapping
#% increased Attack Speed,"of Ease, of Mastery, of Renown, of Skill","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,True,False,1,6,STONEFIST-0001|STONEFIST-0002|STONEFIST-0016|STONEFIST-0036|STONEFIST-0050|STONEFIST-0076|STONEFIST-0078,confirmed_mapping
+#% to Lightning Resistance,"of Ephij, of the Cloud, of the Lightning, of the Maelstrom, of the Squall, of the Storm, of the Tempest, of the Thunderhead","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,True,False,1,11,STONEFIST-0001|STONEFIST-0004|STONEFIST-0010|STONEFIST-0023|STONEFIST-0027|STONEFIST-0032|STONEFIST-0044|STONEFIST-0047|STONEFIST-0051|STONEFIST-0073|STONEFIST-0075|STONEFIST-0077,confirmed_mapping
+#% to Cold Resistance,"of Haast, of the Ice, of the Narwhal, of the Penguin, of the Polar Bear, of the Seal, of the Walrus, of the Yeti","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,12,STONEFIST-0017|STONEFIST-0018|STONEFIST-0021|STONEFIST-0028|STONEFIST-0031|STONEFIST-0036|STONEFIST-0037|STONEFIST-0040|STONEFIST-0048|STONEFIST-0071|STONEFIST-0072|STONEFIST-0077,likely_mapping
+#% to Fire Resistance,"of Magma, of Tzteosh, of the Drake, of the Furnace, of the Kiln, of the Salamander, of the Volcano, of the Whelpling","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,11,STONEFIST-0009|STONEFIST-0011|STONEFIST-0019|STONEFIST-0020|STONEFIST-0024|STONEFIST-0035|STONEFIST-0036|STONEFIST-0038|STONEFIST-0048|STONEFIST-0066|STONEFIST-0069,likely_mapping
Gain # Life per Enemy Hit with Attacks,"of Nourishment, of Regrowth, of Rejuvenation, of Restoration","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,4,STONEFIST-0005|STONEFIST-0027|STONEFIST-0031|STONEFIST-0067,likely_mapping
Leech #% of Physical Attack Damage as Mana,"of the Arid, of the Desperate, of the Drought, of the Parched","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,8,STONEFIST-0005|STONEFIST-0009|STONEFIST-0012|STONEFIST-0021|STONEFIST-0027|STONEFIST-0042|STONEFIST-0051|STONEFIST-0066,likely_mapping
+# to Dexterity,"of the Falcon, of the Fox, of the Jaguar, of the Leopard, of the Lynx, of the Mongoose, of the Panther, of the Phantom, of the Wind","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,11,STONEFIST-0024|STONEFIST-0030|STONEFIST-0031|STONEFIST-0035|STONEFIST-0041|STONEFIST-0044|STONEFIST-0050|STONEFIST-0066|STONEFIST-0068|STONEFIST-0071|STONEFIST-0077,likely_mapping
Leech #% of Physical Attack Damage as Life,"of the Lamprey, of the Locust, of the Remora, of the Vampire","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,5,STONEFIST-0001|STONEFIST-0005|STONEFIST-0021|STONEFIST-0025|STONEFIST-0073,likely_mapping
#% increased Evasion and Energy Shield,"CorruptionLocalIncreasedEvasionAndEnergyShield1, Ephemeral, Ethereal, Evanescent, Illusory, Shadowy, Unreal, Unworldly",dex_int,"corrupted_enchantment, explicit",True,False,True,False,True,0,4,STONEFIST-0012|STONEFIST-0018|STONEFIST-0027|STONEFIST-0072,likely_mapping
#% chance to Gain Arcane Surge when you deal a Critical Hit,of Kurgal,"dex_int, int, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
#% increased Cast Speed when on Full Life,of Kurgal,"dex_int, int, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
#% chance for Attack Hits to apply Incision,of Ulaman,"dex_int, int, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
#% increased Skill Speed if you've consumed a Frenzy Charge Recently,of Ulaman,"dex_int, int, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
#% increased Evasion and Energy Shield | +# to maximum Life,"Bard's, Maestro's, Minstrel's, Musician's, Poet's, Troubadour's",dex_int,explicit,True,False,True,False,True,0,2,STONEFIST-0001|STONEFIST-0028,likely_mapping
+# to Evasion Rating | +# to maximum Energy Shield,"Cherub's, Nymph's, Sylph's, Will-o-wisp's",dex_int,explicit,True,False,True,False,True,0,3,STONEFIST-0001|STONEFIST-0021|STONEFIST-0036,likely_mapping
#% increased Energy Shield Recharge Rate,of Buffering,"dex_int, int, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
+# to Intelligence,"of the Augur, of the Philosopher, of the Prodigy, of the Pupil, of the Sage, of the Savant, of the Student, of the Virtuoso","dex_int, int, str_int",explicit,True,False,True,False,True,0,4,STONEFIST-0018|STONEFIST-0029|STONEFIST-0046|STONEFIST-0072,likely_mapping
#% increased Energy Shield,"CorruptionLocalIncreasedEnergyShieldPercent1, Dauntless, Fearless, Indomitable, Protective, Resolute, Strong-Willed, Unassailable",int,"corrupted_enchantment, explicit",True,False,True,True,False,1,1,STONEFIST-0065|STONEFIST-0077,confirmed_mapping
#% increased Energy Shield | +# to maximum Life,"Abbot's, Bishop's, Exarch's, Monk's, Pope's, Prior's",int,explicit,True,False,True,False,True,0,2,STONEFIST-0017|STONEFIST-0078,likely_mapping
+# to maximum Energy Shield,"Blazing, Glimmering, Glittering, Glowing, Pulsing, Radiating, Shining",int,explicit,True,False,True,False,True,0,1,STONEFIST-0029,likely_mapping
#% increased Armour,"Buttressed, CorruptionLocalIncreasedPhysicalDamageReductionRatingPercent1, Girded, Impregnable, Layered, Lobstered, Reinforced, Thickened",str,"corrupted_enchantment, explicit",True,False,True,False,True,0,1,STONEFIST-0073,likely_mapping
+# to Armour,"Carapaced, Encased, Fortified, Lacquered, Plated, Ribbed, Studded",str,explicit,True,False,True,False,True,0,1,STONEFIST-0019,likely_mapping
#% increased Armour | +# to maximum Life,"Crocodile's, Lobster's, Nautilus', Octopus', Oyster's, Urchin's",str,explicit,True,False,True,False,True,0,1,STONEFIST-0002,likely_mapping
+#% of Armour also applies to Elemental Damage,"of Covering, of Furring, of Lining, of Padding, of Sheathing","str, str_dex, str_int",explicit,True,False,True,False,True,0,2,STONEFIST-0002|STONEFIST-0037,likely_mapping
+# to Strength,"of the Bear, of the Brute, of the Goliath, of the Gorilla, of the Leviathan, of the Lion, of the Titan, of the Wrestler","str, str_dex, str_int",explicit,True,False,True,False,True,0,2,STONEFIST-0034|STONEFIST-0068,likely_mapping
#% increased Armour and Evasion,"Brawler's, CorruptionLocalIncreasedArmourAndEvasion1, Duelist's, Fencer's, Gladiator's, Hero's, Legend's, Scrapper's",str_dex,"corrupted_enchantment, explicit",True,False,True,False,True,0,1,STONEFIST-0023,likely_mapping
#% increased Armour and Evasion | +# to maximum Life,"Aggressor's, Assailant's, Brute's, Bully's, Predator's, Thug's",str_dex,explicit,True,False,True,False,True,0,1,STONEFIST-0047,likely_mapping
+# to Armour | +# to Evasion Rating,"Durable, Flexible, Pliant, Supple",str_dex,explicit,False,False,False,False,False,0,0,,missing_input_sample
#% increased Armour and Energy Shield,"CorruptionLocalIncreasedArmourAndEnergyShield1, Inculcated, Infixed, Infused, Ingrained, Inspired, Instilled, Interpolated",str_int,"corrupted_enchantment, explicit",True,False,True,False,True,0,2,STONEFIST-0030|STONEFIST-0037,likely_mapping
+# to Armour | +# to maximum Energy Shield,"Anointed, Blessed, Hallowed, Sanctified",str_int,explicit,True,False,True,False,True,0,1,STONEFIST-0070,likely_mapping
#% increased Armour and Energy Shield | +# to maximum Life,"Augur's, Auspex's, Druid's, Haruspex's, Prophet's, Visionary's",str_int,explicit,True,False,True,False,True,0,4,STONEFIST-0020|STONEFIST-0034|STONEFIST-0035|STONEFIST-0070,likely_mapping
